Time (s);FP1;F3;Fz;F4;T3;C3;Cz;C4;Sampling Rate
0.820313;7.690076;8.348660;7.022035;7.678611;4.094292;7.092406;6.753937;6.978507;
0.824219;7.084423;5.899727;5.131744;5.984316;5.507955;7.680411;5.189319;7.851652;
0.828125;4.953776;4.220387;3.599271;4.354548;5.268513;5.390581;3.226477;6.918281;
0.832031;7.705326;9.110033;8.083404;8.424985;6.895520;7.085529;6.319696;9.150525;
0.835938;10.007277;12.237465;10.737151;10.856545;6.972243;8.090782;8.610992;9.434237;
0.839844;2.402360;1.942510;1.395765;1.058365;0.927249;0.763887;1.358636;0.949793;
0.843750;-1.487280;-2.614764;-2.549714;-3.036292;0.144563;-1.979441;-2.252611;-2.031914;
0.847656;0.935081;2.677563;0.908380;1.209500;2.742070;1.219598;0.642693;2.668306;
0.851563;7.050243;12.398244;7.132370;8.479699;6.086861;6.787465;7.537307;10.518079;
0.855469;11.731742;18.270510;11.121155;12.802314;8.241787;10.696397;13.159711;15.293967;
0.859375;6.624648;11.426721;5.237063;5.507246;3.219163;5.894363;9.274836;9.980790;
0.863281;4.706607;10.795100;4.451838;3.192567;2.127816;2.873055;7.810713;7.312489;
0.867188;9.245878;18.591749;10.185071;9.002611;6.577710;4.858645;12.466079;10.615249;
0.871094;13.659103;23.612801;14.447680;13.405945;11.398751;7.650719;17.786224;14.027460;
0.875000;12.843873;20.789549;13.279661;11.529934;13.790629;7.282176;18.064587;13.014194;
0.878906;3.885034;8.140294;3.641150;1.215271;10.059668;0.416028;9.046963;4.688118;
0.882813;4.276043;7.205077;4.491816;2.479393;13.177889;1.321808;7.533372;4.273410;
0.886719;12.132396;15.256000;12.783371;11.572675;20.258507;8.005816;13.377516;10.313138;
0.890625;10.754312;12.525587;10.227173;8.900780;16.665840;6.790802;11.207006;8.377645;
0.894531;3.204772;3.751810;1.574856;0.393176;5.842925;1.415773;3.749476;1.638390;
0.898438;-2.976667;-3.057966;-5.283984;-5.253763;-4.328845;-1.928641;-1.407530;-2.656958;
0.902344;1.623033;2.808361;0.224314;1.733229;-2.241946;3.740688;3.559179;3.108781;
0.906250;7.460238;9.211029;7.602149;9.497914;5.669631;9.284987;7.886969;8.568387;
0.910156;1.901500;0.858968;1.949055;2.605211;3.930159;3.821398;0.575059;2.424051;
0.914063;-4.328725;-6.889687;-4.440556;-4.604163;-1.945390;-1.986556;-5.895188;-3.892439;
0.917969;-5.480216;-7.101915;-4.980894;-4.833150;-4.391253;-2.184405;-5.839019;-4.421916;
0.921875;1.381540;2.004810;3.208984;3.814447;1.257929;4.760409;1.798934;2.552913;
0.925781;6.925543;8.277020;8.801509;9.830285;5.247016;9.648300;7.057235;7.941612;
0.929688;0.047821;-1.463167;-0.790087;0.794735;-2.454260;3.654321;-0.676354;1.928092;
0.933594;-4.795410;-7.497691;-7.471607;-4.378878;-7.631940;-0.034856;-6.931711;-2.258038;
0.937500;-2.265840;-3.382902;-4.424192;-0.159643;-5.424331;2.445049;-5.050496;0.509554;
0.941406;4.349842;4.818933;3.747675;7.154403;-0.121124;8.116834;2.033336;7.091917;
0.945313;7.197911;7.538103;7.182328;9.239013;1.038197;10.453674;5.595913;9.553961;
